team,conference,W,L,T,remaining_games,ranked_sos_avg,ranked_sos_sum,past_ranked_sos_avg,total_ranked_sos
Jets,AFC,9,7,0,1,0.6562,0.6562,0.5072,8.7719
Texans,AFC,8,7,0,2,0.6313,1.2625,0.4867,8.5625
Bengals,AFC,9,6,0,2,0.6297,1.2594,0.4469,7.9625
Titans,AFC,7,8,0,2,0.6234,1.2469,0.5265,9.1438
Ravens,AFC,3,12,0,2,0.6219,1.2438,0.5067,8.8438
Colts,AFC,10,5,0,2,0.6031,1.2063,0.5629,9.65
Patriots,AFC,3,12,0,2,0.5891,1.1781,0.5821,9.9094
Browns,AFC,10,5,0,2,0.5734,1.1469,0.4525,7.9344
Bills,AFC,8,7,0,2,0.5594,1.1187,0.49,8.4688
Raiders,AFC,8,7,0,2,0.5531,1.1063,0.5335,9.1094
Dolphins,AFC,11,4,0,2,0.4984,0.9969,0.5335,9.0
Jaguars,AFC,9,5,1,2,0.4578,0.9156,0.5629,9.3594
Steelers,AFC,4,12,0,1,0.4313,0.4313,0.509,8.575
Chargers,AFC,9,7,0,1,0.4063,0.4063,0.5529,9.2531
Chiefs,AFC,4,11,0,2,0.3125,0.625,0.6008,9.6375
Broncos,AFC,15,1,0,1,0.1844,0.1844,0.5264,8.6062
Seahawks,NFC,9,6,0,2,0.7375,1.475,0.45,8.225
Panthers,NFC,7,7,1,2,0.6687,1.3375,0.5135,9.0406
Eagles,NFC,11,5,0,1,0.6313,0.6313,0.4768,8.2594
Buccaneers,NFC,10,5,0,2,0.5859,1.1719,0.5096,8.8156
Lions,NFC,4,12,0,1,0.5844,0.5844,0.4662,8.0438
Saints,NFC,11,4,0,2,0.5312,1.0625,0.5456,9.2469
Vikings,NFC,10,5,0,2,0.5281,1.0563,0.5158,8.7938
Commanders,NFC,10,5,0,2,0.5125,1.025,0.5173,8.7844
Bears,NFC,10,5,0,2,0.5,1.0,0.4958,8.4375
Packers,NFC,10,6,0,1,0.4469,0.4469,0.5322,8.9625
Huskies,NFC,4,11,0,2,0.4375,0.875,0.531,8.8406
Cardinals,NFC,7,9,0,1,0.4,0.4,0.4709,7.9344
Giants,NFC,4,12,0,1,0.3906,0.3906,0.515,8.6312
Rams,NFC,2,13,0,2,0.3859,0.7719,0.5056,8.3563
49ers,NFC,3,12,0,2,0.2969,0.5938,0.4971,8.05
Falcons,NFC,5,11,0,1,0.2062,0.2062,0.5678,9.2906
