team,conference,W,L,remaining_games,sos_avg,sos_sum,past_sos_avg,total_sos
Steelers,AFC,8,2,7,0.6792,4.7545,0.3159,7.9136
Browns,AFC,7,3,7,0.6481,4.5364,0.4186,8.7227
Texans,AFC,3,7,7,0.6,4.2,0.4827,9.0273
Broncos,AFC,7,4,6,0.5864,3.5182,0.514,9.1727
Jaguars,AFC,8,2,7,0.5695,3.9864,0.4714,8.7
Patriots,AFC,5,6,6,0.5477,3.2864,0.4992,8.7773
Titans,AFC,0,9,7,0.5455,3.8182,0.6505,9.6727
Colts,AFC,6,4,7,0.5409,3.7864,0.4345,8.1318
Chiefs,AFC,9,2,6,0.5394,3.2364,0.4202,7.8591
Ravens,AFC,0,10,7,0.5123,3.5864,0.5655,9.2409
Dolphins,AFC,8,2,7,0.511,3.5773,0.5291,8.8682
Bills,AFC,3,7,6,0.475,2.85,0.6182,9.0318
Raiders,AFC,5,5,7,0.4623,3.2364,0.5009,8.2455
Chargers,AFC,7,3,7,0.4558,3.1909,0.5291,8.4818
Jets,AFC,5,5,7,0.3974,2.7818,0.6205,8.9864
Bengals,AFC,6,4,7,0.3838,2.6864,0.5736,8.4227
Packers,NFC,7,4,6,0.6068,3.6409,0.4409,8.4909
Commanders,NFC,6,4,6,0.5727,3.4364,0.54,8.8364
Lions,NFC,1,8,7,0.5182,3.6273,0.5596,8.6636
49ers,NFC,2,9,6,0.5167,3.1,0.4876,8.4636
Rams,NFC,3,7,7,0.5156,3.6091,0.3905,7.5136
Eagles,NFC,9,1,7,0.5104,3.5727,0.4532,8.1045
Falcons,NFC,3,7,7,0.4981,3.4864,0.4973,8.4591
Huskies,NFC,7,4,6,0.4955,2.9727,0.469,8.1318
Cardinals,NFC,2,9,6,0.4894,2.9364,0.5405,8.8818
Panthers,NFC,3,7,7,0.4701,3.2909,0.5459,8.75
Giants,NFC,5,5,7,0.424,2.9682,0.445,7.4182
Saints,NFC,7,4,6,0.4144,2.4864,0.5124,8.1227
Buccaneers,NFC,6,4,7,0.3981,2.7864,0.5491,8.2773
Vikings,NFC,10,0,7,0.3942,2.7591,0.3945,6.7045
Bears,NFC,2,8,7,0.3812,2.6682,0.605,8.7182
Seahawks,NFC,3,7,7,0.3532,2.4727,0.5473,7.9455
