team,logoId,conference,wins,losses,ties,win_pct,pass_att,pass_comp,pass_yds,pass_tds,pass_ints,pass_ints_raw,pass_ints_adjustment,pass_sacks,qb_rating,rush_att,rush_yds,rush_tds,rush_fum,rush_broken_tackles,rush_yac,rush_20plus,rec_catches,rec_yds,rec_tds,rec_drops,rec_yac,def_sacks,def_ints,def_forced_fum,def_fum_rec,def_tds,def_tackles,def_deflections,punts,punt_avg,punt_net_avg,punts_in_20,punts_touchbacks,fg_att,fg_made,fg_50plus_att,fg_50plus_made,xp_att,xp_made,kickoff_touchbacks,total_off_plays,total_off_yds,total_off_tds,total_turnovers,total_takeaways,pass_yds_per_att,rush_yds_per_att,pass_comp_pct,pass_td_pct,pass_int_pct,sack_rate,rush_td_pct,rush_broken_tackle_rate,rush_yac_pct,rush_explosive_rate,drop_rate,rec_yac_pct,rec_yds_per_catch,td_per_play,yds_per_play,turnover_diff,pass_yds_per_game,rush_yds_per_game,rec_yds_per_game,off_yds_per_game,pass_att_per_game,rush_att_per_game,punts_per_game,def_sacks_per_game,def_ints_per_game,pass_ints_per_game,sacks_allowed_per_game,explosive_plays,explosive_plays_per_game,pass_rush_ratio,fg_pct,fg_50plus_pct,xp_pct,punts_in_20_pct
49ers,14,NFC,2.0,1.0,0.0,0.6666666666666666,21.0,13.0,166.0,1.0,0.0,0.0,0.0,3.0,102.4,21.0,60.0,2.0,1.0,1.0,1.0,0.0,13.0,166.0,1.0,0.0,68.0,2.0,0.0,0.0,0.0,0.0,48.0,6.0,5.0,47.8,44.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,42.0,226.0,3.0,1.0,0.0,7.904761904761905,2.857142857142857,61.904761904761905,4.761904761904762,0.0,12.5,9.523809523809524,0.047619047619047616,1.6666666666666667,0.0,0,40.963855421686745,12.76923076923077,0.07142857142857142,5.380952380952381,-1.0,55.333333333333336,20.0,55.333333333333336,75.33333333333333,7.0,7.0,1.6666666666666667,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0,0,100.0,0.0
Bears,0,NFC,1.0,2.0,0.0,0.3333333333333333,28.0,18.0,325.0,3.0,0.0,0.0,0.0,2.0,139.7,22.0,169.0,2.0,0.0,6.0,34.0,2.0,18.0,325.0,3.0,0.0,190.0,2.0,4.0,0.0,0.0,0.0,35.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,5.0,4.0,2.0,50.0,494.0,5.0,0.0,4.0,11.607142857142858,7.681818181818182,64.28571428571429,10.714285714285714,0.0,6.666666666666667,9.090909090909092,0.2727272727272727,20.118343195266274,9.090909090909092,0.0,58.46153846153847,18.055555555555557,0.1,9.88,4.0,108.33333333333333,56.333333333333336,108.33333333333333,164.66666666666666,9.333333333333334,7.333333333333333,1.0,0.6666666666666666,1.3333333333333333,0.0,0.6666666666666666,2.0,0.6666666666666666,1.2727272727272727,100.0,0,80.0,33.33333333333333
Bengals,1,AFC,2.0,1.0,0.0,0.6666666666666666,44.0,28.0,330.0,2.0,1.0,1.0,0.0,7.0,92.0,6.0,23.0,1.0,0.0,0.0,0.0,0.0,28.0,330.0,2.0,1.0,85.0,1.0,2.0,0.0,0.0,0.0,42.0,2.0,5.0,56.0,56.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,5.0,50.0,353.0,3.0,1.0,2.0,7.5,3.8333333333333335,63.63636363636363,4.545454545454546,2.272727272727273,13.725490196078432,16.666666666666664,0.0,0.0,0.0,3.8461538461538463,25.757575757575758,11.785714285714286,0.06,7.06,1.0,110.0,7.666666666666667,110.0,117.66666666666667,14.666666666666666,2.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.3333333333333335,0.0,0.0,7.333333333333333,100.0,0,100.0,40.0
Bills,2,AFC,3.0,0.0,0.0,1.0,23.0,17.0,175.0,0.0,3.0,3.0,0.0,2.0,48.5,20.0,56.0,0.0,0.0,6.0,31.0,0.0,15.0,175.0,0.0,1.0,106.0,2.0,0.0,0.0,0.0,0.0,25.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,43.0,231.0,0.0,3.0,0.0,7.608695652173913,2.8,73.91304347826086,0.0,13.043478260869565,8.0,0.0,0.3,55.35714285714286,0.0,9.090909090909092,60.57142857142858,11.666666666666666,0.0,5.372093023255814,-3.0,58.333333333333336,18.666666666666668,58.333333333333336,77.0,7.666666666666667,6.666666666666667,0.6666666666666666,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,0.0,1.15,100.0,100.0,0,0.0
Broncos,3,AFC,2.0,1.0,0.0,0.6666666666666666,31.0,25.0,420.0,5.0,0.0,0.0,0.0,3.0,158.3,21.0,137.0,2.0,1.0,2.0,27.0,1.0,25.0,420.0,5.0,1.0,223.0,1.0,3.0,2.0,0.0,0.0,27.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,7.0,7.0,2.0,52.0,557.0,7.0,1.0,3.0,13.548387096774194,6.523809523809524,80.64516129032258,16.129032258064516,0.0,8.823529411764707,9.523809523809524,0.09523809523809523,19.708029197080293,4.761904761904762,7.142857142857142,53.095238095238095,16.8,0.1346153846153846,10.711538461538462,2.0,140.0,45.666666666666664,140.0,185.66666666666666,10.333333333333334,7.0,0.3333333333333333,0.3333333333333333,1.0,0.0,1.0,1.0,0.3333333333333333,1.4761904761904763,100.0,0,100.0,100.0
Browns,4,AFC,1.0,2.0,0.0,0.3333333333333333,32.0,25.0,298.0,2.0,2.0,2.0,0.0,0.0,100.2,15.0,17.0,0.0,0.0,1.0,13.0,0.0,25.0,298.0,2.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,47.0,315.0,2.0,2.0,0.0,9.3125,1.1333333333333333,78.125,6.25,6.25,0.0,0.0,0.06666666666666667,76.47058823529412,0.0,0.0,45.302013422818796,11.92,0.0425531914893617,6.702127659574468,-2.0,99.33333333333333,5.666666666666667,99.33333333333333,105.0,10.666666666666666,5.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,2.1333333333333333,100.0,0,100.0,100.0
Buccaneers,5,NFC,0.0,3.0,0.0,0.0,25.0,16.0,160.0,3.0,2.0,2.0,0.0,3.0,84.9,27.0,123.0,0.0,1.0,2.0,30.0,0.0,16.0,159.0,3.0,0.0,71.0,2.0,1.0,1.0,0.0,1.0,26.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,52.0,283.0,3.0,3.0,1.0,6.4,4.555555555555555,64.0,12.0,8.0,10.714285714285714,0.0,0.07407407407407407,24.390243902439025,0.0,0,44.65408805031446,9.9375,0.057692307692307696,5.4423076923076925,-2.0,53.333333333333336,41.0,53.0,94.33333333333333,8.333333333333334,9.0,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.9259259259259259,0,0,100.0,0.0
Cardinals,6,NFC,0.0,3.0,0.0,0.0,35.0,21.0,427.0,3.0,2.0,2.0,0.0,1.0,107.6,13.0,13.0,0.0,0.0,3.0,12.0,0.0,21.0,427.0,3.0,4.0,229.0,1.0,0.0,2.0,1.0,0.0,15.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,3.0,5.0,48.0,440.0,3.0,2.0,1.0,12.2,1.0,60.0,8.571428571428571,5.714285714285714,2.7777777777777777,0.0,0.23076923076923078,92.3076923076923,0.0,18.181818181818183,53.62997658079626,20.333333333333332,0.0625,9.166666666666666,-1.0,142.33333333333334,4.333333333333333,142.33333333333334,146.66666666666666,11.666666666666666,4.333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,2.6923076923076925,100.0,0,100.0,0.0
Chargers,7,AFC,2.0,1.0,0.0,0.6666666666666666,29.0,20.0,325.0,1.0,2.0,2.0,0.0,1.0,89.0,18.0,102.0,2.0,0.0,1.0,29.0,1.0,20.0,325.0,1.0,1.0,192.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,47.0,427.0,3.0,2.0,1.0,11.206896551724139,5.666666666666667,68.96551724137932,3.4482758620689653,6.896551724137931,3.3333333333333335,11.11111111111111,0.05555555555555555,28.431372549019606,5.555555555555555,6.666666666666667,59.07692307692308,16.25,0.06382978723404255,9.085106382978724,-1.0,108.33333333333333,34.0,108.33333333333333,142.33333333333334,9.666666666666666,6.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,1.6111111111111112,0.0,0.0,100.0,100.0
Chiefs,8,AFC,2.0,1.0,0.0,0.6666666666666666,22.0,18.0,233.0,2.0,1.0,1.0,0.0,0.0,122.1,27.0,154.0,2.0,0.0,5.0,24.0,0.0,18.0,233.0,2.0,0.0,154.0,1.0,2.0,0.0,0.0,0.0,27.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,49.0,387.0,4.0,1.0,2.0,10.590909090909092,5.703703703703703,81.81818181818183,9.090909090909092,4.545454545454546,0.0,7.4074074074074066,0.18518518518518517,15.584415584415584,0.0,0.0,66.09442060085837,12.944444444444445,0.08163265306122448,7.8979591836734695,1.0,77.66666666666667,51.333333333333336,77.66666666666667,129.0,7.333333333333333,9.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.8148148148148148,0,0,66.66666666666666,50.0
