team,logoId,conference,wins,losses,ties,win_pct,wr_target_share,te_target_share,rb_target_share,wr1_catches,wr1_name,wr1_position,wr1_share,wr2_catches,wr2_name,wr2_share,wr3_catches,wr3_name,wr3_share,top3_share,pass_concentration,te1_name,te1_catches,rb1_rushes,rb1_name,rb1_position,rb1_share,rb2_rushes,rb2_name,rb2_share,rbbc,rush_concentration,pass_distribution_style,rush_distribution_style,qb_rating,pass_int_pct,sack_rate,pass_td_pct,pass_comp_pct,rush_broken_tackle_rate,rush_yds_per_att,pass_yds_per_att,yds_per_play,td_per_play,turnover_diff,explosive_plays_per_game,def_sacks_per_game,rush_td_pct,drop_rate,rec_yac_pct,total_turnovers,pass_rush_ratio
49ers,14,NFC,0.0,1.0,0.0,0.0,47.61904761904761,23.809523809523807,28.57142857142857,6.0,Christian McCaffrey,HB,28.57142857142857,0,,0,0,,0,28.57142857142857,816.3265306122448,,0,17.0,Christian McCaffrey,HB,89.47368421052632,0,,0,False,8005.540166204986,Spread,Bellcow,98.7,3.4482758620689653,6.451612903225806,6.896551724137931,72.41379310344827,0.10526315789473684,3.8947368421052633,6.655172413793103,5.5625,0.041666666666666664,1.0,0.0,0.0,0.0,14.285714285714285,56.994818652849744,1.0,1.5263157894736843
Bears,0,NFC,1.0,0.0,0.0,1.0,61.53846153846154,23.076923076923077,15.384615384615385,0,,,0,0,,0,0,,0,0,0,,0,11.0,Tony Pollard,HB,37.93103448275862,11.0,D'Andre Swift,37.93103448275862,True,2877.5267538644466,Spread,RBBC,0.0,5.88235294117647,0.0,11.76470588235294,76.47058823529412,0.10344827586206896,7.896551724137931,10.941176470588236,9.021739130434783,0.08695652173913043,2.0,3.0,1.0,6.896551724137931,0.0,56.451612903225815,2.0,0.5862068965517241
Bengals,1,AFC,1.0,0.0,0.0,1.0,52.63157894736842,26.31578947368421,21.052631578947366,6.0,Travis Hunter,WR,31.57894736842105,5.0,Noah Fant,26.31578947368421,0,,0,57.89473684210526,1689.7506925207756,Noah Fant,5.0,20.0,Rashaud Fox,HB,83.33333333333334,0,,0,False,6944.444444444445,Concentrated,Bellcow,83.6,4.3478260869565215,0.0,4.3478260869565215,82.6086956521739,0.16666666666666666,6.5,4.956521739130435,5.74468085106383,0.0851063829787234,1.0,3.0,1.0,12.5,0.0,71.05263157894737,1.0,0.9583333333333334
Bills,2,AFC,1.0,0.0,0.0,1.0,41.66666666666667,33.33333333333333,25.0,0,,,0,0,,0,0,,0,0,0,,0,14.0,James Cook,HB,82.35294117647058,0,,0,False,6782.006920415224,Spread,Bellcow,0.0,6.25,15.789473684210526,6.25,75.0,0.23529411764705882,8.764705882352942,10.125,9.424242424242424,0.12121212121212122,3.0,3.0,1.0,17.647058823529413,0.0,75.30864197530865,1.0,0.9411764705882353
Broncos,3,AFC,1.0,0.0,0.0,1.0,44.44444444444444,38.88888888888889,16.666666666666664,7.0,R.J. Moore,TE,38.88888888888889,0,,0,0,,0,38.88888888888889,1512.3456790123457,R.J. Moore,7.0,18.0,Jonathan Taylor,HB,66.66666666666666,0,,0,False,4444.444444444444,Concentrated,Feature Back,113.5,4.166666666666666,0.0,8.333333333333332,75.0,0.07407407407407407,5.111111111111111,9.25,7.0588235294117645,0.0784313725490196,1.0,1.0,1.0,7.4074074074074066,12.5,51.35135135135135,1.0,0.8888888888888888
Browns,4,AFC,1.0,0.0,0.0,1.0,45.83333333333333,37.5,16.666666666666664,9.0,Harold Fannin Jr.,TE,37.5,6.0,Gage Larvadain,25.0,5.0,Isaiah Bond,20.833333333333336,83.33333333333334,2465.277777777778,Harold Fannin Jr.,9.0,0,,,0,0,,0,False,0,Concentrated,Feature Back,89.7,6.451612903225806,0.0,6.451612903225806,77.41935483870968,0.07142857142857142,4.857142857142857,6.838709677419355,6.222222222222222,0.08888888888888889,-1.0,0.0,2.5,14.285714285714285,9.090909090909092,50.0,2.0,2.2142857142857144
Buccaneers,5,NFC,0.0,1.0,0.0,0.0,71.42857142857143,21.428571428571427,7.142857142857142,8.0,Courtland Sutton,WR,28.57142857142857,5.0,Tee Higgins,17.857142857142858,0,,0,46.42857142857143,1135.204081632653,,0,12.0,Bucky Irving,HB,60.0,0,,0,False,3600.0,Balanced,Feature Back,80.5,4.761904761904762,12.5,4.761904761904762,66.66666666666666,0.3,5.15,6.4523809523809526,6.032258064516129,0.04838709677419355,-1.0,0.0,0.0,5.0,13.333333333333334,43.91143911439114,3.0,2.1
Cardinals,6,NFC,0.0,1.0,0.0,0.0,72.22222222222221,22.22222222222222,5.555555555555555,6.0,Colin Picard,WR,33.33333333333333,0,,0,0,,0,33.33333333333333,1111.111111111111,,0,13.0,Trey Benson,HB,81.25,0,,0,False,6601.5625,Balanced,Bellcow,37.7,13.333333333333334,3.225806451612903,0.0,60.0,0.125,2.875,6.066666666666666,4.956521739130435,0.0,-3.0,0.0,0.0,0.0,9.090909090909092,35.16483516483517,5.0,1.875
Chargers,7,AFC,0.0,1.0,0.0,0.0,60.0,15.0,25.0,6.0,Ladd McConkey,WR,30.0,0,,0,0,,0,30.0,900.0,,0,0,,,0,0,,0,False,0,Spread,Feature Back,94.5,3.225806451612903,6.0606060606060606,6.451612903225806,64.51612903225806,0.17647058823529413,6.117647058823529,7.354838709677419,6.916666666666667,0.0625,0.0,1.0,2.0,5.88235294117647,25.0,32.89473684210527,1.0,1.8235294117647058
Chiefs,8,AFC,0.0,1.0,0.0,0.0,47.61904761904761,28.57142857142857,23.809523809523807,5.0,Jared Wiley,TE,23.809523809523807,5.0,Isiah Pacheco,23.809523809523807,5.0,Donte Clancy,23.809523809523807,71.42857142857142,1700.6802721088434,Jared Wiley,5.0,16.0,Isiah Pacheco,HB,76.19047619047619,0,,0,False,5804.988662131518,Concentrated,Bellcow,101.2,3.4482758620689653,9.375,3.4482758620689653,72.41379310344827,0.23809523809523808,4.809523809523809,10.689655172413794,8.22,0.06,1.0,0.0,2.0,9.523809523809524,14.285714285714285,55.23809523809524,1.0,1.380952380952381
