team,logoId,conference,division,teamOvr,totalWins,totalLosses,totalTies,winPct,homeWins,homeLosses,awayWins,awayLosses,homeWinPct,awayWinPct,games,offPassYds,offRushYds,offTotalYds,defPassYds,defRushYds,defTotalYds,ptsFor,ptsAgainst,netPts,tODiff,capSpent,capAvailable,offScheme,defScheme,rank,offTotalYdsRank,defTotalYdsRank,offPassYdsRank,offRushYdsRank,defPassYdsRank,defRushYdsRank,ptsForRank,ptsAgainstRank,rankVolatility,earlySeasonRank,lateSeasonRank,rankImprovement,eloIndex,eloStart,wins,losses,ties,win_pct,pass_att,pass_comp,pass_yds,pass_tds,pass_ints,pass_ints_raw,pass_ints_adjustment,pass_sacks,qb_rating,rush_att,rush_yds,rush_tds,rush_fum,rush_broken_tackles,rush_yac,rush_20plus,rec_catches,rec_yds,rec_tds,rec_drops,rec_yac,def_sacks,def_ints,def_forced_fum,def_fum_rec,def_tds,def_tackles,def_deflections,punts,punt_avg,punt_net_avg,punts_in_20,punts_touchbacks,fg_att,fg_made,fg_50plus_att,fg_50plus_made,xp_att,xp_made,kickoff_touchbacks,total_off_plays,total_off_yds,total_off_tds,total_turnovers,total_takeaways,pass_yds_per_att,rush_yds_per_att,pass_comp_pct,pass_td_pct,pass_int_pct,sack_rate,rush_td_pct,rush_broken_tackle_rate,rush_yac_pct,rush_explosive_rate,drop_rate,rec_yac_pct,rec_yds_per_catch,td_per_play,yds_per_play,turnover_diff,pass_yds_per_game,rush_yds_per_game,rec_yds_per_game,off_yds_per_game,pass_att_per_game,rush_att_per_game,punts_per_game,def_sacks_per_game,def_ints_per_game,pass_ints_per_game,sacks_allowed_per_game,explosive_plays,explosive_plays_per_game,pass_rush_ratio,fg_pct,fg_50plus_pct,xp_pct,punts_in_20_pct,offDefRankDiff,combinedRank,offPassRushDiff,defPassRushDiff,offYdsPerPt,defYdsPerPt,passRushRatio,defPassRushRatio,offYdsPct,defYdsPct,offTotalYdsPg,defTotalYdsPg,ptsForPg,ptsAgainstPg,netPtsPg,tODiffPerGame,ptsPer100Yds,oppPtsPer100Yds,passShare,rushShare,winsPerMillion,ovrPerMillion,pythExpWinPct,pythOverUnder,ptsRankEfficiency,defRankEfficiency,offenseIndexZ,defenseIndexZ,teamStrengthIndex
Vikings,30,NFC,NFC North,85,1,0,0,1.0,1,0,0,0,1.0,0,1,283,151,434,299,101,400,28,21,7,-1,307100000,17100000,0,11,1,1,24,1,6,30,10,2,17,6.333421052024113,6.133333333333334,1.0,5.133333333333334,28,1200.0,1.0,0.0,0.0,1.0,37.0,29.0,428.0,2.0,4.0,4.0,0.0,2.0,158.3,18.0,153.0,3.0,0.0,9.0,20.0,4.0,29.0,428.0,2.0,1.0,228.0,3.0,1.0,0.0,0.0,0.0,29.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,55.0,581.0,5.0,4.0,1.0,11.567567567567568,8.5,78.37837837837837,5.405405405405405,10.81081081081081,5.128205128205128,16.666666666666664,0.5,13.071895424836603,22.22222222222222,0.0,53.271028037383175,14.758620689655173,0.09090909090909091,10.563636363636364,-3.0,428.0,153.0,428.0,581.0,37.0,18.0,3.0,3.0,1.0,4.0,2.0,4.0,4.0,2.0555555555555554,0,0,100.0,33.33333333333333,-23,12.5,-5,20,15.5,19.047619047619047,1.8741721854304636,2.9603960396039604,52.038369304556355,47.961630695443645,434.0,400.0,28.0,21.0,7.0,-1.0,6.451612903225806,5.25,0.652073732718894,0.347926267281106,0.0032562683165092803,0.2767828069032888,0.6641417727632203,0.3358582272367797,1,7,-0.17525448708467228,0.9022360631396091,0.7269815760549369
Dolphins,11,AFC,AFC East,84,1,0,0,1.0,1,0,0,0,1.0,0,1,225,126,351,388,179,567,38,35,3,2,311250000,12950000,1,11,2,2,2,14,3,2,8,1,1,6.488365656225679,11.066666666666666,3.0,8.066666666666666,29,1200.0,1.0,0.0,0.0,1.0,20.0,20.0,216.0,2.0,0.0,0.0,0.0,2.0,111.9,19.0,207.0,4.0,0.0,2.0,16.0,2.0,18.0,216.0,2.0,1.0,110.0,1.0,3.0,1.0,0.0,1.0,30.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,39.0,423.0,6.0,0.0,3.0,10.8,10.894736842105264,100.0,10.0,0.0,9.090909090909092,21.052631578947366,0.10526315789473684,7.729468599033816,10.526315789473683,0.0,50.92592592592593,12.0,0.15384615384615385,10.846153846153847,3.0,216.0,207.0,216.0,423.0,20.0,19.0,2.0,1.0,3.0,0.0,2.0,2.0,2.0,1.0526315789473684,100.0,100.0,100.0,100.0,0,2.0,11,-6,9.236842105263158,16.2,1.7857142857142858,2.1675977653631286,38.23529411764706,61.76470588235294,351.0,567.0,38.0,35.0,3.0,2.0,10.826210826210826,6.172839506172839,0.6410256410256411,0.358974358974359,0.00321285140562249,0.26987951807228916,0.5485724076986535,0.45142759230134655,-1,1,0.8632906215652376,-0.5517270889702646,0.31156353259497305
Chiefs,8,AFC,AFC West,87,0,1,0,0.0,0,0,0,1,0,0.0,1,299,101,400,283,151,434,21,28,-7,1,320940000,3260000,2,11,3,21,3,23,11,3,6,14,2,5.205659313563354,7.4,2.6666666666666665,4.733333333333334,24,1200.0,0.0,1.0,0.0,0.0,22.0,18.0,233.0,2.0,1.0,1.0,0.0,0.0,101.2,27.0,154.0,2.0,0.0,5.0,24.0,0.0,18.0,233.0,2.0,0.0,154.0,2.0,0.0,2.0,2.0,0.0,22.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,49.0,387.0,4.0,1.0,2.0,10.590909090909092,5.703703703703703,81.81818181818183,9.090909090909092,4.545454545454546,0.0,7.4074074074074066,0.18518518518518517,15.584415584415584,0.0,0.0,66.09442060085837,12.944444444444445,0.08163265306122448,7.8979591836734695,1.0,233.0,154.0,233.0,387.0,22.0,27.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.8148148148148148,0,0,100.0,66.66666666666666,18,12.0,12,-3,19.047619047619047,15.5,2.9603960396039604,1.8741721854304636,47.961630695443645,52.038369304556355,400.0,434.0,21.0,28.0,-7.0,1.0,5.25,6.451612903225806,0.7475,0.2525,0.0,0.27107870630024306,0.3358582272367796,-0.3358582272367796,-7,1,-0.9022360631396091,0.17525448708467228,-0.7269815760549369
Eagles,12,NFC,NFC East,85,1,0,0,1.0,0,0,1,0,0,1.0,1,122,225,347,186,63,249,36,27,9,1,261490000,62710000,0,13,4,8,22,22,4,22,16,4,15,4.504318915095698,7.8,3.533333333333333,4.266666666666667,20,1200.0,1.0,0.0,0.0,1.0,19.0,17.0,258.0,3.0,0.0,0.0,0.0,1.0,58.7,29.0,216.0,1.0,2.0,8.0,55.0,2.0,17.0,258.0,3.0,1.0,168.0,1.0,3.0,2.0,0.0,0.0,30.0,8.0,2.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,1.0,3.0,3.0,0.0,48.0,474.0,4.0,2.0,3.0,13.578947368421053,7.448275862068965,89.47368421052632,15.789473684210526,0.0,5.0,3.4482758620689653,0.27586206896551724,25.462962962962965,6.896551724137931,10.0,65.11627906976744,15.176470588235293,0.08333333333333333,9.875,1.0,258.0,216.0,258.0,474.0,19.0,29.0,2.0,1.0,3.0,0.0,1.0,2.0,2.0,0.6551724137931034,100.0,100.0,100.0,0.0,-14,15.0,18,6,9.63888888888889,9.222222222222221,0.5422222222222223,2.9523809523809526,58.22147651006711,41.77852348993289,347.0,249.0,36.0,27.0,9.0,1.0,10.37463976945245,10.843373493975903,0.3515850144092219,0.6484149855907781,0.0038242380205744005,0.32506023174882404,0.6641417727632203,0.3358582272367797,-4,7,0.6555815998352555,0.27910899794966326,0.9346905977849188
Saints,26,NFC,NFC South,82,0,1,0,0.0,0,0,0,1,0,0.0,1,304,37,341,293,96,389,17,34,-17,-1,246350000,77850000,2,13,5,10,7,9,14,21,1,12,4,8.439391763233493,16.533333333333335,7.666666666666667,8.866666666666667,5,1200.0,0.0,1.0,0.0,0.0,32.0,26.0,275.0,2.0,0.0,0.0,0.0,1.0,106.7,20.0,101.0,2.0,0.0,6.0,23.0,2.0,26.0,275.0,2.0,2.0,101.0,3.0,0.0,0.0,0.0,0.0,48.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,52.0,376.0,4.0,0.0,0.0,8.59375,5.05,81.25,6.25,0.0,3.0303030303030303,10.0,0.3,22.772277227722775,10.0,8.695652173913043,36.72727272727273,10.576923076923077,0.07692307692307693,7.230769230769231,0.0,275.0,101.0,275.0,376.0,32.0,20.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,1.6,33.33333333333333,0.0,100.0,0.0,3,8.5,-5,20,20.058823529411764,11.441176470588236,8.216216216216216,3.0520833333333335,46.71232876712329,53.28767123287671,341.0,389.0,17.0,34.0,-17.0,-1.0,4.9853372434017595,8.740359897172237,0.8914956011730205,0.10850439882697947,0.0,0.33285975238481835,0.16209001924460364,-0.16209001924460364,2,3,-1.317654106599573,-0.44787257810527364,-1.7655266847048467
Broncos,3,AFC,AFC West,86,1,0,0,1.0,0,0,1,0,0,1.0,1,222,138,360,257,49,306,28,14,14,1,303430000,20770000,3,14,6,11,25,24,5,28,12,5,20,4.695269487000246,12.666666666666666,8.466666666666667,4.199999999999999,1,1200.0,1.0,0.0,0.0,1.0,31.0,25.0,420.0,5.0,0.0,0.0,0.0,3.0,113.5,21.0,137.0,2.0,1.0,2.0,27.0,1.0,25.0,420.0,5.0,1.0,223.0,1.0,2.0,2.0,0.0,0.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,52.0,557.0,7.0,1.0,2.0,13.548387096774194,6.523809523809524,80.64516129032258,16.129032258064516,0.0,8.823529411764707,9.523809523809524,0.09523809523809523,19.708029197080293,4.761904761904762,7.142857142857142,53.095238095238095,16.8,0.1346153846153846,10.711538461538462,1.0,420.0,137.0,420.0,557.0,31.0,21.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,1.4761904761904763,0,0,100.0,0.0,-14,18.0,19,16,12.857142857142858,21.857142857142858,1.608695652173913,5.244897959183674,54.054054054054056,45.94594594594595,360.0,306.0,28.0,14.0,14.0,1.0,7.777777777777778,4.57516339869281,0.6166666666666667,0.38333333333333336,0.0032956530336486173,0.2834261608937811,0.8379099807553965,0.16209001924460353,-6,5,-0.17525448708467228,1.629217639194546,1.453963152109874
Jaguars,16,AFC,AFC South,85,1,0,0,1.0,1,0,0,0,1.0,0,1,120,300,420,250,74,324,31,21,10,-1,321970000,2230000,0,12,7,7,5,28,1,8,9,3,9,4.595287441136481,6.266666666666667,6.733333333333333,-0.4666666666666668,6,1200.0,1.0,0.0,0.0,1.0,17.0,14.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,166.0,3.0,0.0,1.0,39.0,2.0,14.0,140.0,0.0,0.0,62.0,0.0,0.0,1.0,0.0,0.0,21.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,6.0,44.0,306.0,3.0,0.0,0.0,8.235294117647058,6.148148148148148,82.35294117647058,0.0,0.0,0.0,11.11111111111111,0.037037037037037035,23.49397590361446,7.4074074074074066,0,44.285714285714285,10.0,0.06818181818181818,6.954545454545454,0.0,140.0,166.0,140.0,306.0,17.0,27.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.6296296296296297,100.0,0,100.0,50.0,2,6.0,27,-1,13.548387096774194,15.428571428571429,0.4,3.3783783783783785,56.451612903225815,43.54838709677419,420.0,324.0,31.0,21.0,10.0,-1.0,7.380952380952381,6.481481481481481,0.2857142857142857,0.7142857142857143,0.0031058794297605364,0.2639997515296456,0.7156593912751492,0.2843406087248508,-4,-4,0.13630904551030068,0.9022360631396091,1.0385451086499098
Browns,4,AFC,AFC North,88,1,0,0,1.0,1,0,0,0,1.0,0,1,212,68,280,178,74,252,28,17,11,-1,297880000,26320000,0,11,8,15,1,13,22,1,4,10,3,6.232976816898969,11.066666666666666,7.933333333333334,3.133333333333333,8,1200.0,1.0,0.0,0.0,1.0,32.0,25.0,298.0,2.0,2.0,2.0,0.0,0.0,89.7,15.0,17.0,0.0,0.0,1.0,13.0,0.0,25.0,298.0,2.0,0.0,135.0,2.5,1.0,0.0,0.0,0.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,47.0,315.0,2.0,2.0,1.0,9.3125,1.1333333333333333,78.125,6.25,6.25,0.0,0.0,0.06666666666666667,76.47058823529412,0.0,0.0,45.302013422818796,11.92,0.0425531914893617,6.702127659574468,-1.0,298.0,17.0,298.0,315.0,32.0,15.0,1.0,2.5,1.0,2.0,0.0,0.0,0.0,2.1333333333333333,0,0,100.0,0.0,14,8.0,-9,-3,10.0,14.823529411764707,3.1176470588235294,2.4054054054054053,52.63157894736842,47.368421052631575,280.0,252.0,28.0,17.0,11.0,-1.0,10.0,6.746031746031746,0.7571428571428571,0.24285714285714285,0.003357056532832013,0.29542097488921715,0.7654165960348884,0.23458340396511157,-5,-2,-0.17525448708467228,1.317654106599573,1.1423996195149009
Commanders,25,NFC,NFC East,87,0,1,0,0.0,0,0,0,1,0,0.0,1,388,179,567,225,126,351,35,38,-3,-2,286540000,37660000,2,19,9,5,9,11,9,9,18,7,7,5.470730197047638,16.4,12.133333333333333,4.266666666666666,12,1200.0,0.0,1.0,0.0,0.0,19.0,15.0,105.0,2.0,0.0,0.0,0.0,2.0,89.5,26.0,253.0,4.0,1.0,3.0,39.0,3.0,15.0,105.0,2.0,2.0,48.0,0.0,1.0,1.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,45.0,358.0,6.0,1.0,1.0,5.526315789473684,9.73076923076923,78.94736842105263,10.526315789473683,0.0,9.523809523809524,15.384615384615385,0.11538461538461539,15.41501976284585,11.538461538461538,0,45.714285714285715,7.0,0.13333333333333333,7.955555555555556,0.0,105.0,253.0,105.0,358.0,19.0,26.0,1.0,0.0,1.0,0.0,2.0,3.0,3.0,0.7307692307692307,0,0,100.0,0.0,-4,7.0,2,-9,16.2,9.236842105263158,2.1675977653631286,1.7857142857142858,61.76470588235294,38.23529411764706,567.0,351.0,35.0,38.0,-3.0,-2.0,6.172839506172839,10.826210826210826,0.6843033509700176,0.31569664902998235,0.0,0.3036225308857402,0.45142759230134666,-0.45142759230134666,2,2,0.5517270889702646,-0.8632906215652376,-0.31156353259497305
Huskies,162,NFC,NFC East,86,1,0,0,1.0,1,0,0,0,1.0,0,1,207,80,287,212,104,316,31,26,5,0,319740000,4460000,5,11,10,24,6,19,19,14,5,9,6,3.0411985941218784,10.933333333333334,10.8,0.13333333333333286,10,1200.0,1.0,0.0,0.0,1.0,17.0,13.0,216.0,2.0,0.0,0.0,0.0,1.0,118.1,30.0,108.0,1.0,1.0,8.0,28.0,1.0,13.0,216.0,2.0,0.0,97.0,2.0,1.0,0.0,0.0,0.0,25.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,2.0,47.0,324.0,3.0,1.0,1.0,12.705882352941176,3.6,76.47058823529412,11.76470588235294,0.0,5.555555555555555,3.3333333333333335,0.26666666666666666,25.925925925925924,3.3333333333333335,0.0,44.907407407407405,16.615384615384617,0.06382978723404255,6.8936170212765955,0.0,216.0,108.0,216.0,324.0,17.0,30.0,4.0,2.0,1.0,0.0,1.0,1.0,1.0,0.5666666666666667,100.0,0,100.0,0.0,18,15.0,0,9,9.258064516129032,12.153846153846153,2.5875,2.0384615384615383,47.59535655058043,52.40464344941957,287.0,316.0,31.0,26.0,5.0,0.0,10.801393728222997,8.227848101265822,0.7212543554006968,0.2787456445993031,0.0031275411271658223,0.2689685369362607,0.6027318424295419,0.3972681575704581,-15,0,0.13630904551030068,0.38296350881465424,0.5192725543249549
